Nome,Tradução,Descrição,Valores
Gender,Gênero,Sexo biológico,Female; Male
Age,Idade,Idade em anos,"Numérico contínuo (mín 14, máx 61)"
Height,Altura,Altura em metros,Numérico contínuo
Weight,Peso,Peso em quilogramas,Numérico contínuo
family_history,Histórico familiar de excesso de peso,Histórico familiar de excesso de peso,yes; no
FAVC,Consumo frequente de alimentos calóricos,Consumo frequente de alimentos muito calóricos,yes; no
FCVC,Frequência de consumo de vegetais,Frequência de consumo de vegetais nas refeições,"Escala 1–3 (1 raramente, 2 às vezes, 3 sempre)"
NCP,Número de refeições principais,Número de refeições principais por dia,"Escala 1–4 (1 uma, 2 duas, 3 três, 4 quatro ou mais)"
CAEC,Consumo entre refeições,Consumo de lanches/comes entre as refeições,no; Sometimes; Frequently; Always
SMOKE,Hábito de fumar,Hábito de fumar,yes; no
CH2O,Consumo diário de água,Consumo diário de água,"Escala 1–3 (1 < 1 L/dia, 2 1–2 L/dia, 3 > 2 L/dia)"
SCC,Monitoramento de calorias,Monitora a ingestão calórica diária,yes; no
FAF,Frequência de atividade física,Frequência semanal de atividade física,"Escala 0–3 (0 nenhuma, 1 ~1–2×/sem, 2 ~3–4×/sem, 3 ≥ 5×/sem)"
TUE,Tempo em dispositivos eletrônicos,Tempo diário usando dispositivos eletrônicos,"Escala 0–2 (0 ~0–2 h/dia, 1 ~3–5 h/dia, 2 > 5 h/dia)"
CALC,Consumo de álcool,Consumo de bebida alcoólica,no; Sometimes; Frequently; Always
MTRANS,Meio de transporte,Meio de transporte habitual,Automobile; Motorbike; Bike; Public_Transportation; Walking
Obesity,Nível de obesidade,Classe de peso corporal,Insufficient_Weight; Normal_Weight; Overweight_Level_I; Overweight_Level_II; Obesity_Type_I; Obesity_Type_II; Obesity_Type_III
